empl_id;gender;last_name;first_name;birth_date;office_phone;roomnumber;unit_id;supervisor;job_code;begindate;enddate;contracttype;IUTCV_status;photo

IUTCV91000PA;Mr;DEPATY;Alexander;31/12/1970;;F6.1G.34;ACME;;chief-executive;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91001EM;Mr;DEEASTY;Mark;31/12/1970;;F1.1G.34;REG_SOUTHEAST;IUTCV91000PA;regional-director;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91002WM;Mr;DEWESTY;Mike;31/12/1970;;F2.1G.34;REG_SOUTHWEST;IUTCV91000PA;regional-director;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91003IJ;Mr;DEILEY;Jane;31/12/1970;;F3.1G.34;REG_ILEDEFRANCE;IUTCV91000PA;regional-director;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91004DL;Mr;DEDIRANY;Luc;31/12/1970;;F1.1G.24;AGC_GRENOBLE;IUTCV91001EM;agency-manager;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91005PA;Mr;DEDIRETY;Bernard;31/12/1970;;F2.1G.24;AGC_BORDEAUX;IUTCV91002WM;agency-manager;19700101000000.0Z;29991231000000.0Z;employee;A
IUTCV91006PA;Mr;DEDIROTY;Beatrice;31/12/1970;;F3.1G.24;AGC_PARIS;IUTCV91003IJ;agency-manager;19700101000000.0Z;29991231000000.0Z;employee;A;C:\IAM-CSV\IUTCV\photo\user_woman_5.jpg
IUTCV91007MR;Mr;DEROOTY;Max;30/11/1970;;F0.1G.01;AGC_PARIS;IUTCV91006PA;accountant-expert;19700101000000.0Z;29991231000000.0Z;employee;A;C:\IAM-CSV\IUTCV\photo\user_man_jp.jpg

#IUTCV91008FC;Mme;DECOSTAY;FRANCESCA;31/10/1970;;F0.1G.02;AGC_PARIS;IUTCV91006PA;accountant-expert;19700101000000.0Z;29991231000000.0Z;employee;A
#IUTCV91009JN;Mr;DENEWY;JOHN;31/10/1970;;F0.1G.02;AGC_PARIS;IUTCV91006PA;accountant-expert;19700101000000.0Z;29991231000000.0Z;employee;A;C:\IAM-CSV\IUTCV\photo\user_man_0.png

#for a mutation, change only agency and manager:    ;F7.1G.34;AGC_GRENOBLE;0000020015;
